	fusion_id	fusion_id_lst
0	F00000001	F00000001
1	F00000001	F00000002
2	F00000001	F00000003
3	F00000001	F00000004
4	F00000001	F00000005
5	F00000001	F00000006
6	F00000001	F00000007
7	F00000002	F00000001
8	F00000002	F00000002
9	F00000002	F00000003
10	F00000002	F00000004
11	F00000002	F00000005
12	F00000002	F00000006
13	F00000002	F00000007
14	F00000003	F00000001
15	F00000003	F00000002
16	F00000003	F00000003
17	F00000003	F00000004
18	F00000003	F00000005
19	F00000003	F00000006
20	F00000003	F00000007
21	F00000004	F00000001
22	F00000004	F00000002
23	F00000004	F00000003
24	F00000004	F00000004
25	F00000004	F00000005
26	F00000004	F00000006
27	F00000004	F00000007
28	F00000005	F00000001
29	F00000005	F00000002
30	F00000005	F00000003
31	F00000005	F00000004
32	F00000005	F00000005
33	F00000005	F00000006
34	F00000005	F00000007
35	F00000006	F00000001
36	F00000006	F00000002
37	F00000006	F00000003
38	F00000006	F00000004
39	F00000006	F00000005
40	F00000006	F00000006
41	F00000006	F00000007
42	F00000007	F00000001
43	F00000007	F00000002
44	F00000007	F00000003
45	F00000007	F00000004
46	F00000007	F00000005
47	F00000007	F00000006
48	F00000007	F00000007
49	F00000008	F00000008
50	F00000009	F00000009
51	F00000009	F00000010
52	F00000009	F00000011
53	F00000009	F00000012
54	F00000009	F00000013
55	F00000009	F00000014
56	F00000009	F00000015
57	F00000010	F00000009
58	F00000010	F00000010
59	F00000010	F00000011
60	F00000010	F00000012
61	F00000010	F00000013
62	F00000010	F00000014
63	F00000010	F00000015
64	F00000011	F00000009
65	F00000011	F00000010
66	F00000011	F00000011
67	F00000011	F00000012
68	F00000011	F00000013
69	F00000011	F00000014
70	F00000011	F00000015
71	F00000012	F00000009
72	F00000012	F00000010
73	F00000012	F00000011
74	F00000012	F00000012
75	F00000012	F00000013
76	F00000012	F00000014
77	F00000012	F00000015
78	F00000013	F00000009
79	F00000013	F00000010
80	F00000013	F00000011
81	F00000013	F00000012
82	F00000013	F00000013
83	F00000013	F00000014
84	F00000013	F00000015
85	F00000014	F00000009
86	F00000014	F00000010
87	F00000014	F00000011
88	F00000014	F00000012
89	F00000014	F00000013
90	F00000014	F00000014
91	F00000014	F00000015
92	F00000015	F00000009
93	F00000015	F00000010
94	F00000015	F00000011
95	F00000015	F00000012
96	F00000015	F00000013
97	F00000015	F00000014
98	F00000015	F00000015
99	F00000016	F00000016
100	F00000017	F00000017
101	F00000017	F00000018
102	F00000017	F00000019
103	F00000017	F00000020
104	F00000017	F00000021
105	F00000017	F00000022
106	F00000017	F00000023
107	F00000017	F00000024
108	F00000018	F00000017
109	F00000018	F00000018
110	F00000018	F00000019
111	F00000018	F00000020
112	F00000018	F00000021
113	F00000018	F00000022
114	F00000018	F00000023
115	F00000018	F00000024
116	F00000019	F00000017
117	F00000019	F00000018
118	F00000019	F00000019
119	F00000019	F00000020
120	F00000019	F00000021
121	F00000019	F00000022
122	F00000019	F00000023
123	F00000019	F00000024
124	F00000020	F00000017
125	F00000020	F00000018
126	F00000020	F00000019
127	F00000020	F00000020
128	F00000020	F00000021
129	F00000020	F00000022
130	F00000020	F00000023
131	F00000020	F00000024
132	F00000021	F00000017
133	F00000021	F00000018
134	F00000021	F00000019
135	F00000021	F00000020
136	F00000021	F00000021
137	F00000021	F00000022
138	F00000021	F00000023
139	F00000021	F00000024
140	F00000022	F00000017
141	F00000022	F00000018
142	F00000022	F00000019
143	F00000022	F00000020
144	F00000022	F00000021
145	F00000022	F00000022
146	F00000022	F00000023
147	F00000022	F00000024
148	F00000023	F00000017
149	F00000023	F00000018
150	F00000023	F00000019
151	F00000023	F00000020
152	F00000023	F00000021
153	F00000023	F00000022
154	F00000023	F00000023
155	F00000023	F00000024
156	F00000024	F00000017
157	F00000024	F00000018
158	F00000024	F00000019
159	F00000024	F00000020
160	F00000024	F00000021
161	F00000024	F00000022
162	F00000024	F00000023
163	F00000024	F00000024
